Date,Reported Cause of Incident,cause_sub ,State,County,Operator ID,Operator Name,System Type,Report ID,Fatalities,Injuries,Cost_Reported,Total Cost Current Year Dollars,b_spilled,b_lost
,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,CO,GARFIELD,17620,ROCKY MOUNTAIN NATURAL GAS LLC,GAS TRANSMISSION,20060036,0,0,55000,30694,0,0
,,UNSPECIFIED EQUIPMENT FAILURE,IL,COOK,22610,"MAGELLAN PIPELINE COMPANY, LP",HAZARDOUS LIQUID,20060099,0,0,8520,10643,0,0
,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,TX,LUBBOCK COUNTY,4473,ATMOS ENERGY CORPORATION - WEST TEXAS,GAS DISTRIBUTION,20060144,0,0,9429,10870,0,0
03/01/2006,ALL OTHER CAUSES,MISCELLANEOUS,OCS,,18646,ENBRIDGE OFFSHORE (GAS TRANSMISSION) LLC,GAS GATHERING,20060037,0,0,1500000,1873688,0,0
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,LA,LAFOURCHE,18416,SOUTH COAST GAS CO INC,GAS DISTRIBUTION,20060058,0,0,2926,1431,0,0
,INCORRECT OPERATION,INCORRECT OPERATION,OR,MULTNOMAH,13840,NORTHWEST NATURAL GAS CO,GAS TRANSMISSION,20060052,0,1,0,0,0,0
,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,OK,CARTER,30829,ENTERPRISE CRUDE PIPELINE LLC,HAZARDOUS LIQUID,20060076,0,0,5113,6387,9,2
03/02/2006,CORROSION,INTERNAL,TX,,13750,NORTHERN NATURAL GAS CO,GAS GATHERING,20060045,0,0,2500000,3046797,0,0
,,,,,,,,20060046,0,0,2500000,3046797,0,0
,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,MN,WRIGHT,13750,NORTHERN NATURAL GAS CO,GAS TRANSMISSION,20060044,0,0,113000,113785,0,0
03/03/2006,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,TX,HASKELL,300,"PLAINS PIPELINE, L.P.",HAZARDOUS LIQUID,20060081,0,0,19880,24833,15,3
03/04/2006,CORROSION,UNSPECIFIED CORROSION,NM,LEA,30829,ENTERPRISE CRUDE PIPELINE LLC,HAZARDOUS LIQUID,20060077,0,0,400,500,2,0
03/05/2006,ALL OTHER CAUSES,MISCELLANEOUS,CO,ADAMS,31666,"ROCKY MOUNTAIN PIPELINE SYSTEM, LLC",HAZARDOUS LIQUID,20060123,0,0,254156,317473,"1,197",847
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NY,ULSTER,2196,CENTRAL HUDSON GAS & ELECTRIC CORP,GAS DISTRIBUTION,20060063,0,0,300000,374596,0,0
03/06/2006,CORROSION,INTERNAL,TX,ECTOR,300,"PLAINS PIPELINE, L.P.",HAZARDOUS LIQUID,20060090,0,0,64170,80156,150,62
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,DIMMIT,32327,TEXAS PIPELINE LLC,GAS TRANSMISSION,20080054,0,0,46700,58334,0,0
,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",OCS,,31485,ENBRIDGE OFFSHORE (GAS GATHERING) L.L.C.,GAS GATHERING,20060039,0,0,150000,187369,0,0
03/07/2006,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,IN,LAKE,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",HAZARDOUS LIQUID,20060103,0,0,3600,4497,2,0
,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",CA,KERN,26134,EXXONMOBIL OIL CORP - WEST COAST,HAZARDOUS LIQUID,20060088,0,0,46575,58178,55,35
,,UNSPECIFIED EQUIPMENT FAILURE,MO,FRANKLIN,4805,EXPLORER PIPELINE CO,HAZARDOUS LIQUID,20060105,0,0,3381,4223,2,2
03/08/2006,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,HARRIS,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,GAS DISTRIBUTION,20060071,0,0,149568,75515,0,0
03/09/2006,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,IN,JACKSON,8070,INDIANA GAS CO INC,GAS DISTRIBUTION,20060070,0,0,2017130,2500381,0,0
,,UNSPECIFIED NATURAL FORCE DAMAGE,MI,WAYNE,18718,SUNOCO PIPELINE L.P.,HAZARDOUS LIQUID,20060109,0,0,1510,1886,0,0
03/10/2006,ALL OTHER CAUSES,UNKNOWN,IL,COOK,15329,PEOPLES GAS LIGHT & COKE CO,GAS DISTRIBUTION,20060068,0,0,0,0,0,0
03/11/2006,INCORRECT OPERATION,INCORRECT OPERATION,OK,PAYNE,30829,ENTERPRISE CRUDE PIPELINE LLC,HAZARDOUS LIQUID,20060086,0,0,23087,28839,575,10
,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,OCS,,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,GAS GATHERING,20060051,0,0,1800000,2020377,0,0
03/13/2006,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,OH,BUTLER,2364,DUKE ENERGY OHIO,GAS DISTRIBUTION,20060069,0,0,150000,187369,0,0
,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,AZ,PIMA,18092,"SFPP, LP",HAZARDOUS LIQUID,20060111,0,0,173,216,1,0
,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,LA,BOSSIER,602,"ENABLE GAS TRANSMISSION, LLC",GAS TRANSMISSION,20060053,0,0,24000,12419,0,0
03/14/2006,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,TX,POLK,22442,WEST TEXAS GULF PIPELINE CO,HAZARDOUS LIQUID,20070198,0,0,6550,8182,4,4
03/17/2006,CORROSION,INTERNAL,KS,BUTLER,22610,"MAGELLAN PIPELINE COMPANY, LP",HAZARDOUS LIQUID,20060124,0,0,132500,165509,100,0
,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,TX,EL PASO,18092,"SFPP, LP",HAZARDOUS LIQUID,20060112,0,0,25093,31344,1,0
03/20/2006,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,TX,MONTAGUE,18718,SUNOCO PIPELINE L.P.,HAZARDOUS LIQUID,20070192,0,0,1525,1905,0,0
03/21/2006,ALL OTHER CAUSES,MISCELLANEOUS,LA,SABINE,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",HAZARDOUS LIQUID,20060089,0,0,12048,15049,10,0
,,,OK,KAY,602,"ENABLE GAS TRANSMISSION, LLC",GAS DISTRIBUTION,20060066,0,0,55000,68702,0,0
,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NY,,17570,ROCHESTER GAS & ELECTRIC CORP,GAS DISTRIBUTION,20060080,0,1,1250,991,0,0
,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",CO,BACA,31684,PHILLIPS 66 PIPELINE LLC,HAZARDOUS LIQUID,20060117,0,0,2540,3173,40,40
,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,TX,TARRANT,18718,SUNOCO PIPELINE L.P.,HAZARDOUS LIQUID,20070193,0,0,1006,1257,0,0
03/22/2006,CORROSION,UNSPECIFIED CORROSION,TX,SAN PATRICIO,26086,SEADRIFT PIPELINE CORP,HAZARDOUS LIQUID,20060113,0,0,28,35,1,1
,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",OCS,,31728,"GULF SOUTH PIPELINE COMPANY, LP",GAS TRANSMISSION,20060059,0,0,250000,312281,0,0
,,UNSPECIFIED EQUIPMENT FAILURE,TX,COLLIN,32109,"ONEOK NGL PIPELINE, LLC",HAZARDOUS LIQUID,20060101,0,0,1746,2181,4,4
03/23/2006,ALL OTHER CAUSES,MISCELLANEOUS,KS,RICE,9175,JAYHAWK PIPELINE LLC,HAZARDOUS LIQUID,20060091,0,0,5675,7089,30,15
,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,OH,LUCAS,18386,BP OIL PIPELINE CO,HAZARDOUS LIQUID,20060097,0,0,750000,936844,270,70
,,UNSPECIFIED EQUIPMENT FAILURE,IL,CUMBERLAND,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,HAZARDOUS LIQUID,20060115,0,0,5020,6271,1,1
,,,KS,MEADE,9175,JAYHAWK PIPELINE LLC,HAZARDOUS LIQUID,20060093,0,0,145,181,1,1
03/24/2006,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,UT,SUMMIT,12876,DOMINION ENERGY UTAH/WYOMING/IDAHO,GAS DISTRIBUTION,20060076,0,0,101210,126416,0,0
03/25/2006,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,NE,GAGE,4472,CYPRESS INTERSTATE PIPELINE LLC,HAZARDOUS LIQUID,20060125,0,0,4573,5712,2,2
03/26/2006,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,MO,BOLLINGER,13120,NATURAL GAS PIPELINE CO OF AMERICA (KMI),GAS TRANSMISSION,20060050,0,0,147524,72134,0,0
,NATURAL FORCE DAMAGE,EARTH MOVEMENT,WV,WAYNE,2616,"COLUMBIA GAS TRANSMISSION, LLC",GAS TRANSMISSION,20060056,0,0,72600,49085,0,0
03/27/2006,CORROSION,EXTERNAL,OK,KAY,31684,PHILLIPS 66 PIPELINE LLC,HAZARDOUS LIQUID,20060118,0,0,45,56,1,1
,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,OK,LOGAN,31684,PHILLIPS 66 PIPELINE LLC,HAZARDOUS LIQUID,20060102,0,0,35,44,0,0
03/28/2006,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,MN,CLEARWATER,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",HAZARDOUS LIQUID,20060127,0,0,5000,6246,2,0
,,UNSPECIFIED MATERIAL/WELD FAILURE,TX,FREESTONE,22442,WEST TEXAS GULF PIPELINE CO,HAZARDOUS LIQUID,20070199,0,0,3030,3785,1,1
03/29/2006,ALL OTHER CAUSES,MISCELLANEOUS,MS,WASHINGTON,19160,TENNESSEE GAS PIPELINE COMPANY,GAS TRANSMISSION,20060058,0,0,400000,195587,0,0
,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,WA,WHATCOM,13845,NORTHWEST PIPELINE LLC,GAS TRANSMISSION,20060055,0,0,60000,63545,0,0
,,UNSPECIFIED EQUIPMENT FAILURE,MO,LACLEDE,4805,EXPLORER PIPELINE CO,HAZARDOUS LIQUID,20060129,0,0,5212,6510,2,0
,,UNSPECIFIED MATERIAL/WELD FAILURE,CA,KERN,31174,"SHELL PIPELINE CO., L.P.",HAZARDOUS LIQUID,20060116,0,0,20000,24983,4,4
03/30/2006,ALL OTHER CAUSES,MISCELLANEOUS,CO,,15931,PUBLIC SERVICE CO OF COLORADO,GAS DISTRIBUTION,20060108,0,0,1500000,1872547,0,0
,,,TX,JEFFERSON,31174,"SHELL PIPELINE CO., L.P.",HAZARDOUS LIQUID,20060119,0,0,165000,206106,11,0
,CORROSION,UNSPECIFIED CORROSION,CA,KERN,26134,EXXONMOBIL OIL CORP - WEST COAST,HAZARDOUS LIQUID,20060121,0,0,2550,3185,1,0
,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,GA,DEKALB,792,ATLANTA GAS LIGHT CO,GAS TRANSMISSION,20060066,0,0,58400,66944,0,0
,,UNSPECIFIED EQUIPMENT FAILURE,AR,UNION,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",HAZARDOUS LIQUID,20060110,0,0,5005,6252,1,0
,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,MO,ST.CHARLES,11032,SPIRE MISSOURI INC. EAST,GAS DISTRIBUTION,20060092,1,0,151000,188618,0,0
04/01/2006,CORROSION,INTERNAL,TX,RUSK,31130,DCP MIDSTREAM,GAS TRANSMISSION,20060054,0,0,172032,175337,0,0
,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,IL,WILL,1845,"BUCKEYE PARTNERS, LP",HAZARDOUS LIQUID,20060128,0,0,17500,21860,5,5
04/02/2006,ALL OTHER CAUSES,MISCELLANEOUS,AK,MATANUSKA SUSITNA BOROUGH,4483,ENSTAR NATURAL GAS CO,GAS DISTRIBUTION,20060065,0,0,50550,63105,0,0
,CORROSION,INTERNAL,TX,,32052,"WHITE MARLIN OPERATING COMPANY, LLC",GAS TRANSMISSION,20060087,0,0,615592,746647,0,0
,NATURAL FORCE DAMAGE,HIGH WINDS,MO,PEMISCOT,20211,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),GAS DISTRIBUTION,20060097,0,0,98000,107447,0,0
04/03/2006,CORROSION,EXTERNAL,OK,LATIMER,13120,NATURAL GAS PIPELINE CO OF AMERICA (KMI),GAS TRANSMISSION,20060057,0,0,61070,29861,0,0
,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,TX,NAVARRO,18718,SUNOCO PIPELINE L.P.,HAZARDOUS LIQUID,20070194,0,0,525,656,0,0
,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,TX,HOCKLEY,300,"PLAINS PIPELINE, L.P.",HAZARDOUS LIQUID,20060126,0,0,1630,2036,2,2
04/04/2006,CORROSION,EXTERNAL,MS,AMITE,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,GAS TRANSMISSION,20060063,0,0,245000,148683,0,0
,,UNSPECIFIED CORROSION,MO,CHARITON,15156,SINCLAIR TRANSPORTATION COMPANY,HAZARDOUS LIQUID,20060114,0,0,35160,43919,2,2
,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,TX,BOWIE,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,GAS DISTRIBUTION,20060078,0,0,100000,124913,0,0
04/05/2006,ALL OTHER CAUSES,UNKNOWN,LA,CONCORDIA,12462,"AMERICAN MIDSTREAM (MIDLA), LLC",GAS TRANSMISSION,20060064,0,1,990500,1222435,0,0
,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NE,SAUNDERS,31618,ENTERPRISE PRODUCTS OPERATING LLC,HAZARDOUS LIQUID,20060131,0,0,55620,69476,0,0
04/06/2006,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,CA,MERCED,15007,PACIFIC GAS & ELECTRIC CO,GAS DISTRIBUTION,20060082,0,0,50000,62456,0,0
04/07/2006,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,OH,FAIRFIELD,2616,"COLUMBIA GAS TRANSMISSION, LLC",GAS TRANSMISSION,20060062,0,0,63300,63118,0,0
,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,AK,MATANUSKA SUSITNA BOROUGH,4483,ENSTAR NATURAL GAS CO,GAS DISTRIBUTION,20060067,0,0,226050,282327,0,0
04/09/2006,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,PA,WESTMORELAND,19235,"TEXAS EASTERN TRANSMISSION, LP (SPECTRA ENERGY PARTNERS, LP)",GAS TRANSMISSION,20060061,0,0,402700,500970,0,0
04/10/2006,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,NY,NEW YORK,1800,KEYSPAN ENERGY DELIVERY - NY CITY,GAS TRANSMISSION,20060068,0,0,453321,563730,0,0
,,UNSPECIFIED EQUIPMENT FAILURE,TX,BRAZORIA,31670,CELANESE LTD,HAZARDOUS LIQUID,20060133,0,0,20,25,0,0
04/11/2006,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,IL,COOK,13710,NORTHERN ILLINOIS GAS CO,GAS DISTRIBUTION,20060083,0,0,60750,75694,0,0
,,,TX,POLK,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,GAS DISTRIBUTION,20060084,1,1,0,0,0,0
,,VEHICLE NOT ENGAGED IN EXCAVATION,PA,,15462,PECO ENERGY CO,GAS DISTRIBUTION,20060079,0,0,75000,93684,0,0
04/12/2006,ALL OTHER CAUSES,UNKNOWN,OCS,,19160,TENNESSEE GAS PIPELINE COMPANY,GAS TRANSMISSION,20060067,0,0,250000,274273,0,0
,CORROSION,UNSPECIFIED CORROSION,OH,ALLEN,1845,"BUCKEYE PARTNERS, LP",HAZARDOUS LIQUID,20060134,0,0,26000,32477,0,0
04/13/2006,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,TX,HARRIS,4906,EXXONMOBIL PIPELINE CO,HAZARDOUS LIQUID,20060120,0,0,2000,2498,0,0
,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,TX,CHAMBERS,31686,MASTERS RESOURCES LLC,HAZARDOUS LIQUID,20060194,0,0,0,0,1,1
04/14/2006,CORROSION,INTERNAL,KS,WYANDOTTE,31684,PHILLIPS 66 PIPELINE LLC,HAZARDOUS LIQUID,20060132,0,0,346050,432260,"3,225",2527
04/16/2006,ALL OTHER CAUSES,UNKNOWN,OH,FRANKLIN,2596,COLUMBIA GAS OF OHIO INC,GAS DISTRIBUTION,20060086,0,0,150000,187369,0,0
,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,VA,FAIRFAX,2604,COLUMBIA GAS OF VIRGINIA INC,GAS DISTRIBUTION,20060123,0,0,250000,0,0,0
04/17/2006,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,VA,HENRICO,15674,PLANTATION PIPE LINE CO,HAZARDOUS LIQUID,20060137,0,0,12000000,14989500,553,3
,,UNSPECIFIED EQUIPMENT FAILURE,IL,GRUNDY,4472,CYPRESS INTERSTATE PIPELINE LLC,HAZARDOUS LIQUID,20060136,0,0,826,1032,0,0
,NATURAL FORCE DAMAGE,LIGHTNING,WV,TUCKER,31808,CANAAN VALLEY GAS CO,GAS DISTRIBUTION,20060085,4,1,0,0,0,0
04/18/2006,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,OCS,,405,ANR PIPELINE CO,GAS TRANSMISSION,20060069,0,0,60000,67346,0,0
04/19/2006,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,FL,ESCAMBIA,4475,"PENSACOLA, ENERGY SERVICES OF",GAS DISTRIBUTION,20060095,1,1,3426,4070,0,0
,,,KY,HENRY,11824,LOUISVILLE GAS & ELECTRIC CO,GAS DISTRIBUTION,20060093,0,0,341592,426409,0,0
04/20/2006,ALL OTHER CAUSES,MISCELLANEOUS,MN,MILLS,13410,NEW YORK MILLS MUNICIPAL GAS SYSTEM,GAS DISTRIBUTION,20070017,0,0,0,0,0,0
,CORROSION,EXTERNAL,TX,HUTCHINSON,31672,"CHAPARRAL ENERGY, LLC",HAZARDOUS LIQUID,20060140,0,0,139000,173628,0,0
,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",MI,LENAWEE,31448,ENBRIDGE PIPELINES (TOLEDO) INC,HAZARDOUS LIQUID,20060138,0,0,115000,143649,25,0
04/21/2006,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,LA,VERMILION,19730,TRUNKLINE GAS CO,GAS TRANSMISSION,20060070,0,0,10584266,13157016,0,0
,NATURAL FORCE DAMAGE,LIGHTNING,FL,ALACHUA,6030,GAINESVILLE REGIONAL UTIL GAS DEPT,GAS DISTRIBUTION,20060077,0,0,0,0,0,0
04/23/2006,ALL OTHER CAUSES,MISCELLANEOUS,NM,TORRANCE,4005,E M W GAS ASSOCIATION,GAS DISTRIBUTION,20060091,0,2,101651,126898,0,0
,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,KS,WYANDOTTE,22610,"MAGELLAN PIPELINE COMPANY, LP",HAZARDOUS LIQUID,20060135,0,0,1600,1999,3,0
04/24/2006,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,LA,HARRIS,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,GAS DISTRIBUTION,20060090,0,0,23669,17877,0,0
,,,,JEFFERSON,4906,EXXONMOBIL PIPELINE CO,HAZARDOUS LIQUID,20060141,0,0,330000,412211,0,0
04/25/2006,CORROSION,EXTERNAL,TX,DONLEY,18718,SUNOCO PIPELINE L.P.,HAZARDOUS LIQUID,20060160,0,0,18000,22484,15,5
,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,IL,KANE,13710,NORTHERN ILLINOIS GAS CO,GAS DISTRIBUTION,20060088,0,0,71000,88308,0,0
04/27/2006,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,KS,KIOWA,31618,ENTERPRISE PRODUCTS OPERATING LLC,HAZARDOUS LIQUID,20060142,0,0,163050,203670,1,1
04/28/2006,CORROSION,UNSPECIFIED CORROSION,TX,ARCHER,30829,ENTERPRISE CRUDE PIPELINE LLC,HAZARDOUS LIQUID,20060130,0,0,3075,3841,2,1
,INCORRECT OPERATION,INCORRECT OPERATION,IL,GRUNDY,4472,CYPRESS INTERSTATE PIPELINE LLC,HAZARDOUS LIQUID,20060144,0,0,1118,1397,25,25
,,,MA,MIDDLESEX,2652,NSTAR GAS COMPANY,GAS DISTRIBUTION,20060117,0,1,21000,23951,0,0
,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,CA,SAN BERNARDINO,26125,CALNEV PIPELINE CO,HAZARDOUS LIQUID,20060147,0,0,963617,1203678,914,864
04/29/2006,CORROSION,INTERNAL,OK,TULSA,18718,SUNOCO PIPELINE L.P.,HAZARDOUS LIQUID,20060149,0,0,25698,32100,63,3
04/30/2006,CORROSION,INTERNAL,ND,MCKENZIE,1248,BELLE FOURCHE PIPELINE CO,HAZARDOUS LIQUID,20060152,0,0,26000,32477,25,5
,MATERIAL/WELD/EQUIP FAILURE,FILLET WELD,CA,CONTRA COSTA,18092,"SFPP, LP",HAZARDOUS LIQUID,20060145,0,0,499493,623929,77,0
05/01/2006,CORROSION,INTERNAL,TX,JONES,18718,SUNOCO PIPELINE L.P.,HAZARDOUS LIQUID,20070195,0,0,12200,15239,15,10
05/02/2006,ALL OTHER CAUSES,MISCELLANEOUS,TX,JEFFERSON,12624,EXXONMOBIL OIL CORPORATION,HAZARDOUS LIQUID,20060153,0,0,250515,312925,6,0
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,BRAZORIA,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,GAS DISTRIBUTION,20060118,0,1,43919,54404,0,0
,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,OCS,,19160,TENNESSEE GAS PIPELINE COMPANY,GAS TRANSMISSION,20060071,0,0,210000,254715,0,0
,NATURAL FORCE DAMAGE,LIGHTNING,TN,DICKSON,6716,GREATER DICKSON GAS AUTHORITY,GAS DISTRIBUTION,20060081,0,0,60480,75243,0,0
05/03/2006,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,JOHNSON,32107,"ENLINK NGL PIPELINE, LP",HAZARDOUS LIQUID,20080173,0,0,91544,114350,2,0
,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,MN,WASHINGTON,22855,"FLINT HILLS RESOURCES, LC",HAZARDOUS LIQUID,20060154,0,0,50160,62656,30,10
05/04/2006,ALL OTHER CAUSES,MISCELLANEOUS,CA,IMPERIAL,18484,SOUTHERN CALIFORNIA GAS CO,GAS TRANSMISSION,20060073,0,0,320000,384517,0,0
,CORROSION,UNSPECIFIED CORROSION,TX,NAVARRO,18718,SUNOCO PIPELINE L.P.,HAZARDOUS LIQUID,20070196,0,0,2350,2935,3,3
05/05/2006,ALL OTHER CAUSES,MISCELLANEOUS,OK,COAL,26330,"ENABLE OKLAHOMA INTRASTATE TRANSMISSION, LLC",GAS TRANSMISSION,20060065,0,0,173497,84834,0,0
05/06/2006,CORROSION,EXTERNAL,TX,CHEROKEE,31728,"GULF SOUTH PIPELINE COMPANY, LP",GAS TRANSMISSION,20060077,0,0,55985,50180,0,0
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MI,CALHOUN,22830,WOLVERINE PIPELINE CO,HAZARDOUS LIQUID,20070330,0,0,747400,933596,0,0
,NATURAL FORCE DAMAGE,LIGHTNING,TX,HARRIS,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,GAS DISTRIBUTION,20060106,0,0,54685,67268,0,0
05/07/2006,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,KS,,31159,"KANSAS GAS SERVICE COMPANY, A DIVISION OF ONE GAS, INC.",GAS DISTRIBUTION,20060094,1,2,23425,25517,0,0
05/08/2006,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,CO,ADAMS,15156,SINCLAIR TRANSPORTATION COMPANY,HAZARDOUS LIQUID,20060148,0,0,35200,43969,2,2
,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,VA,,17360,"RICHMOND, CITY OF",GAS DISTRIBUTION,20060087,0,0,138490,172991,0,0
05/09/2006,CORROSION,UNSPECIFIED CORROSION,CA,KERN,26134,EXXONMOBIL OIL CORP - WEST COAST,HAZARDOUS LIQUID,20060156,0,0,1570,1961,1,0
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,LA,LA FOURCHE,18416,SOUTH COAST GAS CO INC,GAS DISTRIBUTION,20060099,0,0,357,175,0,0
05/10/2006,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,TX,SCURRY,31555,KINDER MORGAN CO2 CO. LP,HAZARDOUS LIQUID,20060196,0,0,1501,1875,0,0
,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,IL,WINNEBAGO,13710,NORTHERN ILLINOIS GAS CO,GAS DISTRIBUTION,20060100,0,0,551500,688512,0,0
05/12/2006,ALL OTHER CAUSES,UNKNOWN,IL,KENDALL,13710,NORTHERN ILLINOIS GAS CO,GAS DISTRIBUTION,20060101,0,0,100002,124914,0,0
,CORROSION,UNSPECIFIED CORROSION,TX,SCURRY,30829,ENTERPRISE CRUDE PIPELINE LLC,HAZARDOUS LIQUID,20060139,0,0,1075,1343,2,1
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,ZAPATA,31130,DCP MIDSTREAM,GAS TRANSMISSION,20060072,0,0,25883,18352,0,0
05/14/2006,CORROSION,UNSPECIFIED CORROSION,MO,KNOX,15156,SINCLAIR TRANSPORTATION COMPANY,HAZARDOUS LIQUID,20060161,0,0,36160,45168,2,2
,INCORRECT OPERATION,INCORRECT OPERATION,TX,HUTCHINSON,31684,PHILLIPS 66 PIPELINE LLC,HAZARDOUS LIQUID,20060167,0,0,1100,1374,34,34
